country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
India,0.628,0.676,0.693,0.713,0.743,0.722,0.712,0.707,0.744,0.811,0.798,0.815,0.867,0.845,0.822,0.831,,,,0.627
Indonesia,,,,,0.0677,0.0475,,,,,,,,0.0833,,,,0.0847,,
Iran,,,,,,0.502,0.497,0.594,0.523,0.642,0.576,,0.672,0.284,0.277,,0.325,,,
Iraq,,,,,,,,,,,,0.0457,0.0344,0.0455,0.0369,0.0348,,,0.0383,0.0372
Ireland,1.27,1.24,1.21,1.15,1.09,1.05,1.06,1.12,1.18,1.19,1.2,1.23,1.39,1.61,1.6,1.54,1.55,1.56,1.51,
Israel,2.6,2.81,2.92,3.33,3.93,4.18,4.13,3.9,3.87,4.04,4.13,4.41,4.33,4.12,3.94,4.02,4.16,4.14,4.29,4.27
Italy,0.951,0.99,1,0.985,1,1.04,1.08,1.06,1.05,1.05,1.09,1.13,1.17,1.22,1.23,1.21,1.27,1.31,1.38,1.33
Jamaica,,,,,,0.0496,0.0609,,,,,,,,,,,,,
Japan,2.69,2.77,2.87,2.89,2.9,2.97,3.01,3.05,3.03,3.18,3.28,3.34,3.34,3.23,3.14,3.25,3.21,3.32,3.4,3.28
Jordan,,,,,,,0.337,,,,,,0.435,,,,,,,
Kazakhstan,,0.294,0.221,0.184,0.181,0.22,0.255,0.253,0.248,0.284,0.243,0.21,0.216,0.229,0.154,0.154,0.165,0.171,0.167,0.169
Kenya,,,,,,,,,,,,0.355,,,0.786,,,,,
Kuwait,,0.205,0.258,0.198,0.125,0.179,0.18,0.143,0.13,0.101,0.0848,0.0858,0.0855,0.112,0.101,0.099,0.0972,0.302,,
Kyrgyz Republic,,0.194,0.211,0.18,0.156,0.172,0.198,0.223,0.199,0.198,0.23,0.234,0.19,0.16,0.156,0.156,0.166,0.149,0.125,0.121
Lao,,,,,,,0.0371,,,,,,,,,,,,,
Latvia,0.397,0.366,0.379,0.352,0.436,0.403,0.409,0.36,0.4,0.53,0.651,0.554,0.581,0.453,0.611,0.698,0.665,0.613,0.69,0.625
Lesotho,,,,,,,0.0418,0.043,0.0553,,,,,0.0271,,0.0116,,,,0.0528
Lithuania,0.492,0.537,0.544,0.502,0.585,0.667,0.657,0.663,0.751,0.747,0.791,0.801,0.788,0.83,0.783,0.904,0.895,0.951,1.03,1.04
Luxembourg,,,,,1.59,,,1.65,1.62,1.59,1.69,1.61,1.64,1.71,1.53,1.5,1.29,1.3,1.29,1.29
"Macedonia, FYR",,0.378,0.43,0.345,0.418,0.294,0.244,0.21,0.232,0.229,0.194,0.171,0.224,0.197,0.216,0.223,0.327,0.439,0.518,0.443
Madagascar,,0.22,0.11,0.096,0.12,0.218,0.245,0.338,0.223,0.175,0.164,0.14,0.134,0.147,0.114,0.106,,,0.0155,
Malaysia,0.216,,0.398,,0.47,,0.653,,0.6,,0.611,,0.788,1.01,1.04,1.03,1.09,,1.26,1.3
Mali,,,,,,,,,,,,0.219,,,0.583,,,,,
Malta,,,,,,,0.238,0.237,0.493,0.53,0.58,0.548,0.533,0.517,0.615,0.672,0.829,0.77,0.748,0.769
Mauritius,,0.279,0.262,0.314,0.29,0.369,0.373,0.337,0.378,0.373,,,,,,,0.178,,,
Mexico,0.259,0.287,0.316,0.356,0.317,0.339,0.382,0.389,0.394,0.404,0.374,0.43,0.473,0.519,0.536,0.514,0.494,0.504,0.536,0.552
Moldova,0.873,0.807,,,,,,0.324,0.349,0.399,0.406,0.546,0.535,0.526,0.44,0.405,0.417,0.352,0.371,0.37
Monaco,,,,,,,,,0.0372,0.0375,,,,,,,,,,
Mongolia,,0.168,0.167,0.15,0.188,0.268,0.252,0.252,0.268,0.238,0.191,0.238,0.336,0.305,0.244,0.23,0.239,0.232,0.224,0.155
Montenegro,,,,,,,,0.798,1.02,0.924,1.24,1.15,,,,0.315,,0.374,0.363,0.38
Morocco,,,0.273,,,0.607,0.526,0.631,,,0.608,,,,0.714,,,,,
Mozambique,,,,,,,0.421,,,,0.455,,0.153,,0.422,,,,,0.337
Myanmar,,0.0598,0.0342,0.0441,0.113,0.0714,0.162,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,0.142,,,,0.337,
Nepal,,,,,,,,,,,,,0.0544,0.259,0.303,,,,,
Netherlands,1.86,1.87,1.77,1.84,1.81,1.81,1.77,1.8,1.81,1.79,1.76,1.69,1.64,1.68,1.72,1.9,1.94,1.95,2,2.01
New Zealand,,1.05,,0.966,,1.1,,1.14,,1.12,,1.16,,1.25,,1.23,,1.15,,
Nicaragua,,0.0651,,,,,0.0349,,,,,,,,,0.0835,0.105,0.104,0.0901,0.108
Nigeria,,,,,,,,,,,,0.219,,,,,,,,
Norway,,1.6,,1.6,,1.57,1.63,1.68,1.55,1.48,1.45,1.56,1.55,1.72,1.65,1.63,1.62,1.65,1.72,1.93
Oman,,,,,,,,,,,,,,,,0.136,0.208,0.169,0.213,0.246
Pakistan,,0.156,0.109,0.116,0.128,0.167,0.22,,,0.437,,0.632,,0.448,,0.329,,0.293,,0.246
Palestine,,,,,,,,,,,,0.208,0.163,0.397,0.395,,,0.492,,
Panama,0.31,0.299,0.269,0.272,0.363,0.361,0.342,0.321,0.226,0.232,0.235,0.185,0.196,0.135,0.147,0.175,0.0762,0.0631,,
Paraguay,,,,,,0.0742,0.0851,0.0717,0.0727,0.0748,,,0.0548,,,0.0568,0.088,,0.103,0.129
Peru,,0.0835,0.1,0.0984,0.112,0.111,0.106,0.108,0.156,,,,,,,0.0828,0.0553,0.0817,0.108,0.117
Philippines,,,,,,,0.137,0.13,,0.111,,0.11,,0.114,,0.117,,0.138,,
Poland,0.641,0.644,0.661,0.682,0.642,0.623,0.558,0.539,0.553,0.563,0.551,0.561,0.597,0.662,0.718,0.744,0.881,0.869,0.94,1
Portugal,0.549,0.566,0.627,0.679,0.724,0.764,0.72,0.698,0.73,0.755,0.956,1.13,1.44,1.58,1.53,1.46,1.38,1.33,1.29,1.28
Qatar,,,,,,,,,,,,,,,,,0.479,,,
Romania,0.67,0.57,0.492,0.396,0.364,0.389,0.375,0.383,0.383,0.408,0.451,0.521,0.569,0.461,0.452,0.493,0.483,0.387,0.383,0.488
Russia,0.965,1.04,0.954,0.997,1.05,1.18,1.25,1.29,1.15,1.07,1.07,1.12,1.04,1.25,1.13,1.02,1.05,1.06,1.09,1.13
Saudi Arabia,,,,,,,,0.0627,0.0532,0.0423,0.0425,0.0452,0.049,0.0733,0.884,0.9,0.88,0.818,,
Senegal,,,,,,,,,,,,,0.369,,0.541,,,,,
Serbia,,0.753,0.803,0.996,0.898,0.321,0.678,0.521,0.305,0.417,0.466,0.619,0.711,0.866,0.744,0.724,0.908,0.726,0.769,0.866
Seychelles,,,,,,0.425,0.407,0.412,0.347,0.302,,,,,,,,,,
Singapore,1.32,1.41,1.74,1.82,1.82,2.02,2.06,2.03,2.1,2.16,2.13,2.34,2.62,2.16,2.02,2.15,2.01,2.01,2.2,
Slovak Republic,0.893,1.05,0.766,0.646,0.639,0.626,0.564,0.562,0.501,0.494,0.476,0.448,0.462,0.473,0.616,0.663,0.805,0.824,0.882,1.18
Slovenia,1.27,1.25,1.31,1.34,1.36,1.47,1.44,1.25,1.37,1.41,1.53,1.42,1.63,1.82,2.06,2.42,2.58,2.6,2.38,2.21
South Africa,,0.584,,,,0.713,,0.758,0.811,0.863,0.898,0.883,0.888,0.835,0.737,0.735,0.735,0.723,,
